Date,Open,High,Low,Close,Volume
2025-07-01 00:00:00+00:00,1338.23,1338.7743,1282.22,1293.6,4993567.0
2025-07-02 00:00:00+00:00,1296.96,1299.9499,1271.59,1284.86,3048801.0
2025-07-03 00:00:00+00:00,1292.0,1302.26,1279.76,1297.18,2006224.0
2025-07-07 00:00:00+00:00,1295.0,1295.0,1276.02,1289.62,2273737.0
2025-07-08 00:00:00+00:00,1290.9,1293.25,1260.0,1275.31,3292525.0
2025-07-09 00:00:00+00:00,1273.99,1288.29,1266.24,1288.28,2384477.0
2025-07-10 00:00:00+00:00,1285.5,1289.5999,1246.01,1250.59,4236494.0
2025-07-11 00:00:00+00:00,1259.786,1261.0,1231.3,1245.11,3957150.0
2025-07-14 00:00:00+00:00,1244.91,1270.49,1240.0,1261.95,2781048.0
2025-07-15 00:00:00+00:00,1262.0,1271.22,1243.245,1260.27,2801731.0
2025-07-16 00:00:00+00:00,1261.71,1271.0,1249.82,1250.31,3227022.0
2025-07-17 00:00:00+00:00,1253.0,1277.5,1244.8004,1274.17,6469877.0
2025-07-18 00:00:00+00:00,1241.96,1246.5,1201.01,1209.24,10693306.0
2025-07-21 00:00:00+00:00,1206.0,1237.1,1198.0,1233.27,5627591.0
2025-07-22 00:00:00+00:00,1230.38,1232.37,1187.5,1190.08,5062970.0
2025-07-23 00:00:00+00:00,1189.81,1192.6194,1173.6,1176.78,4504264.0
2025-07-24 00:00:00+00:00,1177.8,1183.5,1162.6601,1180.76,3845570.0
2025-07-25 00:00:00+00:00,1178.415,1187.32,1174.3825,1180.49,2629260.0
2025-07-28 00:00:00+00:00,1181.2,1197.7899,1168.53,1174.6,3446958.0
2025-07-29 00:00:00+00:00,1179.0,1179.6,1163.29,1168.74,2752489.0
2025-07-30 00:00:00+00:00,1168.55,1184.85,1166.1,1184.2,2922731.0
2025-07-31 00:00:00+00:00,1184.8,1190.0,1157.74,1159.4,3712949.0
2025-08-01 00:00:00+00:00,1163.01,1178.505,1152.85,1158.6,3890950.0
2025-08-04 00:00:00+00:00,1167.65,1177.0,1162.615,1170.99,2244702.0
2025-08-05 00:00:00+00:00,1171.0,1171.71,1144.71,1147.87,2660735.0
2025-08-06 00:00:00+00:00,1153.52,1181.375,1151.8701,1178.48,3362161.0
2025-08-07 00:00:00+00:00,1181.76,1191.22,1168.2,1180.37,2628321.0
2025-08-08 00:00:00+00:00,1183.19,1214.11,1180.3701,1211.64,3816689.0
2025-08-11 00:00:00+00:00,1214.01,1223.07,1201.93,1218.31,2455648.0
2025-08-12 00:00:00+00:00,1225.0,1231.99,1206.505,1225.28,2282627.0
2025-08-13 00:00:00+00:00,1234.0,1237.12,1203.0,1204.44,2762355.0
2025-08-14 00:00:00+00:00,1209.89,1244.09,1207.03,1230.56,3904668.0
2025-08-15 00:00:00+00:00,1234.04,1246.941,1227.88,1238.95,2767804.0
2025-08-18 00:00:00+00:00,1235.63,1251.1599,1235.45,1245.09,2111087.0
2025-08-19 00:00:00+00:00,1240.2,1240.9999,1192.79,1214.15,3707731.0
2025-08-20 00:00:00+00:00,1218.0,1222.9999,1193.3101,1213.86,2434398.0
2025-08-21 00:00:00+00:00,1211.43,1221.3999,1197.635,1206.21,2047178.0
2025-08-22 00:00:00+00:00,1208.88,1213.62,1198.23,1204.65,3128133.0
2025-08-25 00:00:00+00:00,1201.65,1233.8,1199.0,1218.07,2812036.0
2025-08-26 00:00:00+00:00,1220.21,1231.4999,1212.2,1226.09,1985714.0
2025-08-27 00:00:00+00:00,1223.61,1229.21,1213.0,1223.5,1664526.0
2025-08-28 00:00:00+00:00,1222.79,1237.891,1214.2681,1231.45,1950336.0
2025-08-29 00:00:00+00:00,1227.97,1228.79,1201.15,1208.25,3209817.0
2025-09-02 00:00:00+00:00,1197.0,1215.4,1182.8,1214.11,2303269.0
2025-09-03 00:00:00+00:00,1205.14,1226.9999,1203.38,1226.18,2441424.0
2025-09-04 00:00:00+00:00,1223.2,1257.48,1223.09,1257.48,3023506.0
2025-09-05 00:00:00+00:00,1260.0,1267.1,1239.0201,1243.82,2379673.0
2025-09-08 00:00:00+00:00,1248.54,1252.0405,1232.0,1244.76,1915053.0
2025-09-09 00:00:00+00:00,1246.67,1265.721,1246.67,1263.25,2219655.0
2025-09-10 00:00:00+00:00,1263.975,1267.0,1246.355,1247.71,2701015.0
2025-09-11 00:00:00+00:00,1251.0,1253.445,1192.0,1203.5,5682286.0
2025-09-12 00:00:00+00:00,1203.055,1211.78,1182.4,1188.44,3784944.0
2025-09-15 00:00:00+00:00,1188.4,1207.24,1173.2076,1202.26,2909277.0
2025-09-16 00:00:00+00:00,1205.64,1208.9999,1197.28,1200.51,2404686.0
2025-09-17 00:00:00+00:00,1221.02,1233.93,1206.605,1228.5,3459796.0
2025-09-18 00:00:00+00:00,1220.82,1233.0,1205.5,1207.78,3169105.0
2025-09-19 00:00:00+00:00,1218.62,1229.9499,1208.1,1226.97,4947590.0
2025-09-22 00:00:00+00:00,1221.9,1229.76,1214.2432,1227.37,2546814.0
2025-09-23 00:00:00+00:00,1227.33,1227.79,1208.47,1218.47,2499146.0
2025-09-24 00:00:00+00:00,1218.61,1221.5,1194.2,1203.95,2773127.0
2025-09-25 00:00:00+00:00,1203.09,1216.84,1191.51,1208.24,1997783.0
2025-09-26 00:00:00+00:00,1205.42,1214.0,1200.0,1210.61,1944957.0
2025-09-29 00:00:00+00:00,1205.0,1224.49,1187.54,1206.41,3033174.0
2025-09-30 00:00:00+00:00,1206.41,1208.5,1178.0,1198.92,3830304.0
2025-10-01 00:00:00+00:00,1175.49,1179.14,1163.21,1170.9,4110221.0
2025-10-02 00:00:00+00:00,1161.5,1163.33,1134.0,1162.53,4685467.0
2025-10-03 00:00:00+00:00,1165.0,1168.0,1143.22,1153.32,3137365.0
2025-10-06 00:00:00+00:00,1160.37,1163.58,1145.45,1163.31,2968596.0
2025-10-07 00:00:00+00:00,1177.79,1201.365,1177.46,1191.06,3309094.0
2025-10-08 00:00:00+00:00,1197.11,1217.39,1192.0,1214.25,2851353.0
2025-10-09 00:00:00+00:00,1214.25,1237.5,1211.82,1231.07,2824077.0
2025-10-10 00:00:00+00:00,1229.0,1247.0,1219.1,1220.08,4279776.0
2025-10-13 00:00:00+00:00,1221.35,1231.12,1206.81,1219.03,2460783.0
2025-10-14 00:00:00+00:00,1214.75,1224.2899,1203.1,1215.35,2362446.0
2025-10-15 00:00:00+00:00,1213.01,1219.62,1201.61,1203.29,2025194.0
2025-10-16 00:00:00+00:00,1212.15,1216.71,1176.0,1183.59,2832619.0
2025-10-17 00:00:00+00:00,1183.6,1203.12,1178.95,1199.36,2957101.0
2025-10-20 00:00:00+00:00,1207.875,1247.76,1206.9,1238.56,3986235.0
2025-10-21 00:00:00+00:00,1242.83,1248.5999,1231.76,1241.35,6508234.0
2025-10-22 00:00:00+00:00,1142.9,1157.6,1112.51,1116.37,14789025.0
2025-10-23 00:00:00+00:00,1126.9,1127.8285,1099.73,1113.59,6849722.0
2025-10-24 00:00:00+00:00,1111.0,1114.51,1094.41,1094.69,6028025.0
2025-10-27 00:00:00+00:00,1100.67,1102.28,1087.3,1094.56,4691114.0
2025-10-28 00:00:00+00:00,1094.0,1116.9799,1093.0083,1102.5,4020901.0
2025-10-29 00:00:00+00:00,1099.84,1108.55,1096.0,1100.41,3399487.0
2025-10-30 00:00:00+00:00,1094.4,1106.16,1088.11,1089.0,4158099.0
2025-10-31 00:00:00+00:00,1105.39,1134.88,1101.98,1118.86,6866500.0
2025-11-03 00:00:00+00:00,1133.24,1133.5,1075.15,1100.09,5863439.0
2025-11-04 00:00:00+00:00,1099.99,1104.5999,1086.68,1092.96,3871780.0
2025-11-05 00:00:00+00:00,1085.0,1100.85,1073.3701,1098.46,3538577.0
2025-11-06 00:00:00+00:00,1094.58,1103.7,1085.13,1097.02,3653170.0
2025-11-07 00:00:00+00:00,1094.175,1108.22,1087.5,1103.66,4412534.0
2025-11-10 00:00:00+00:00,1106.715,1128.2,1104.05,1120.07,3692900.0
2025-11-11 00:00:00+00:00,1117.6,1139.2199,1112.8,1136.44,2796594.0
2025-11-12 00:00:00+00:00,1138.17,1164.3399,1128.26,1157.5,3922057.0
2025-11-13 00:00:00+00:00,1158.5,1167.33,1145.69,1154.23,4014359.0
2025-11-14 00:00:00+00:00,1142.73,1142.73,1107.21,1112.17,4760713.0
2025-11-17 00:00:00+00:00,110.75,111.85,109.55,110.29,25945780.0
2025-11-18 00:00:00+00:00,110.29,115.25,109.2,114.09,43440565.0
2025-11-19 00:00:00+00:00,113.0,113.34,108.61,110.0,31868089.0
2025-11-20 00:00:00+00:00,111.0,111.1,105.39,105.67,36918546.0
2025-11-21 00:00:00+00:00,105.13,106.53,103.81,104.31,41232687.0
